item1,item2,count
house keeping products,hamburger meat,5
frozen meals,turkey,5
rice,sliced cheese,5
dog food,sliced cheese,5
ketchup,rolls/buns,5
meat spreads,whipped/sour cream,5
decalcifier,other vegetables,5
frozen fish,dessert,5
rice,frozen potato products,5
instant coffee,butter,5
long life bakery product,instant coffee,5
waffles,canned vegetables,5
potted plants,waffles,5
condensed milk,dessert,5
margarine,condensed milk,5
baking powder,mayonnaise,5
chocolate,specialty cheese,5
seasonal products,frozen fish,5
instant coffee,chicken,5
sugar,curd cheese,5
photo/film,butter milk,5
soups,UHT-milk,5
sparkling wine,canned beer,5
chocolate,sparkling wine,5
processed cheese,meat,5
salt,hamburger meat,5
syrup,frankfurter,5
syrup,citrus fruit,5
newspapers,syrup,5
popcorn,butter,5
popcorn,oil,5
waffles,popcorn,5
long life bakery product,roll products,5
frozen potato products,cream cheese,5
candles,napkins,5
house keeping products,hard cheese,5
canned fruit,brown bread,5
long life bakery product,spread cheese,5
canned fish,condensed milk,5
canned fish,specialty cheese,5
candles,berries,5
kitchen towels,dessert,5
chewing gum,pasta,5
long life bakery product,pasta,5
sauces,UHT-milk,5
pickled vegetables,ham,5
liquor,frankfurter,5
brown bread,condensed milk,5
prosecco,rolls/buns,5
newspapers,jam,5
potted plants,specialty cheese,5
pickled vegetables,pasta,5
sweet spreads,pickled vegetables,5
domestic eggs,frozen potato products,5
cling film/bags,cat food,5
potted plants,cat food,5
newspapers,turkey,5
newspapers,popcorn,5
misc. beverages,UHT-milk,5
dishes,hard cheese,5
hygiene articles,dog food,5
specialty chocolate,canned vegetables,5
shopping bags,chocolate marshmallow,5
canned beer,pet care,5
chocolate marshmallow,pickled vegetables,5
candy,mustard,5
popcorn,pork,5
vinegar,semi-finished bread,5
curd cheese,onions,5
popcorn,sugar,5
newspapers,condensed milk,5
tidbits,yogurt,5
zwieback,ham,5
rice,herbs,5
nut snack,citrus fruit,5
prosecco,whole milk,5
sauces,cream cheese,5
syrup,brown bread,5
condensed milk,curd,5
house keeping products,misc. beverages,5
tea,whipped/sour cream,5
packaged fruit/vegetables,grapes,5
canned vegetables,semi-finished bread,5
canned beer,processed cheese,5
Instant food products,meat,5
syrup,bottled water,5
house keeping products,berries,5
pet care,sauces,5
sparkling wine,bottled water,5
Instant food products,sugar,5
cat food,cereals,5
candy,canned vegetables,5
liquor,coffee,5
nut snack,whole milk,5
ready soups,semi-finished bread,4
dishes,flour,4
flour,frozen dessert,4
hygiene articles,spices,4
napkins,spices,4
coffee,cereals,4
frozen potato products,berries,4
pickled vegetables,frozen potato products,4
candles,specialty chocolate,4
flower (seeds),specialty chocolate,4
sparkling wine,frankfurter,4
bathroom cleaner,margarine,4
bathroom cleaner,fruit/vegetable juice,4
salt,herbs,4
salt,condensed milk,4
bathroom cleaner,pastry,4
softener,coffee,4
softener,fruit/vegetable juice,4
photo/film,sausage,4
photo/film,fruit/vegetable juice,4
shopping bags,photo/film,4
sparkling wine,frozen vegetables,4
pastry,fish,4
male cosmetics,coffee,4
canned fruit,pip fruit,4
canned fruit,cream cheese,4
canned fruit,rice,4
honey,yogurt,4
popcorn,pasta,4
dishes,white bread,4
candles,dishes,4
snack products,tropical fruit,4
cling film/bags,flour,4
cocoa drinks,curd,4
cereals,sliced cheese,4
zwieback,curd,4
zwieback,cream cheese,4
specialty bar,zwieback,4
spices,pork,4
spices,beef,4
make up remover,soda,4
cookware,whole milk,4
cake bar,meat,4
tea,frankfurter,4
cling film/bags,meat,4
cling film/bags,tea,4
Instant food products,beverages,4
detergent,Instant food products,4
cereals,dessert,4
canned fish,frozen dessert,4
canned fish,cereals,4
potato products,beef,4
potato products,hamburger meat,4
spices,margarine,4
hygiene articles,tea,4
napkins,tea,4
misc. beverages,packaged fruit/vegetables,4
sauces,citrus fruit,4
dishes,canned beer,4
photo/film,brown bread,4
specialty bar,packaged fruit/vegetables,4
detergent,packaged fruit/vegetables,4
specialty fat,dessert,4
specialty fat,onions,4
specialty fat,pasta,4
cling film/bags,pasta,4
dog food,hamburger meat,4
dog food,pasta,4
male cosmetics,root vegetables,4
newspapers,frozen potato products,4
ice cream,packaged fruit/vegetables,4
salty snack,packaged fruit/vegetables,4
cling film/bags,misc. beverages,4
hard cheese,packaged fruit/vegetables,4
rice,frozen dessert,4
dental care,frankfurter,4
rum,pork,4
rum,onions,4
hygiene articles,rum,4
flour,turkey,4
rice,flour,4
organic products,sausage,4
organic products,root vegetables,4
organic products,rolls/buns,4
misc. beverages,turkey,4
house keeping products,red/blush wine,4
house keeping products,candy,4
frozen potato products,frozen fish,4
cat food,mayonnaise,4
cat food,frozen potato products,4
kitchen towels,curd,4
rubbing alcohol,tropical fruit,4
rubbing alcohol,root vegetables,4
rubbing alcohol,other vegetables,4
rubbing alcohol,bottled water,4
hygiene articles,rubbing alcohol,4
napkins,rubbing alcohol,4
soap,citrus fruit,4
packaged fruit/vegetables,meat,4
sauces,pork,4
newspapers,light bulbs,4
kitchen towels,beef,4
semi-finished bread,herbs,4
potted plants,meat,4
potted plants,frozen dessert,4
ketchup,hamburger meat,4
Instant food products,oil,4
canned fish,soups,4
liquor,tropical fruit,4
rum,citrus fruit,4
rum,frozen vegetables,4
rum,fruit/vegetable juice,4
liquor (appetizer),fruit/vegetable juice,4
cling film/bags,pickled vegetables,4
abrasive cleaner,brown bread,4
soups,herbs,4
dish cleaner,soups,4
cling film/bags,soups,4
potato products,curd,4
female sanitary products,UHT-milk,4
coffee,potato products,4
chocolate marshmallow,mustard,4
frozen dessert,frozen fish,4
artif. sweetener,curd,4
artif. sweetener,UHT-milk,4
dental care,UHT-milk,4
ready soups,frankfurter,4
instant coffee,margarine,4
decalcifier,fruit/vegetable juice,4
potted plants,turkey,4
liquor (appetizer),margarine,4
skin care,onions,4
canned fruit,yogurt,4
female sanitary products,grapes,4
female sanitary products,misc. beverages,4
pasta,packaged fruit/vegetables,4
baking powder,soups,4
detergent,soups,4
specialty bar,frozen fish,4
fish,pork,4
candles,pasta,4
potted plants,soft cheese,4
specialty chocolate,turkey,4
dog food,onions,4
berries,fish,4
white wine,spread cheese,4
red/blush wine,spread cheese,4
instant coffee,sugar,4
ready soups,pork,4
dishes,beverages,4
abrasive cleaner,pip fruit,4
organic products,whole milk,4
shopping bags,organic products,4
Instant food products,chicken,4
salty snack,herbs,4
pet care,frozen vegetables,4
abrasive cleaner,curd,4
vinegar,brown bread,4
curd cheese,hard cheese,4
curd cheese,spread cheese,4
ice cream,spread cheese,4
dish cleaner,roll products,4
potted plants,packaged fruit/vegetables,4
ready soups,root vegetables,4
ready soups,yogurt,4
chocolate marshmallow,flour,4
chocolate marshmallow,salty snack,4
dish cleaner,flour,4
dish cleaner,salty snack,4
dental care,dish cleaner,4
salt,berries,4
baking powder,salt,4
misc. beverages,salt,4
potted plants,ice cream,4
fruit/vegetable juice,organic sausage,4
dog food,salt,4
rum,domestic eggs,4
rum,white bread,4
frozen fish,butter milk,4
zwieback,sliced cheese,4
sugar,spread cheese,4
flour,mayonnaise,4
cocoa drinks,root vegetables,4
seasonal products,mayonnaise,4
seasonal products,flour,4
cocoa drinks,whipped/sour cream,4
cocoa drinks,white bread,4
long life bakery product,vinegar,4
cleaner,cream cheese,4
cleaner,vinegar,4
tea,margarine,4
cleaner,frozen meals,4
house keeping products,cleaner,4
potted plants,cake bar,4
frozen fish,hard cheese,4
specialty fat,pip fruit,4
dog food,frozen fish,4
long life bakery product,specialty fat,4
cling film/bags,frozen fish,4
cling film/bags,rice,4
artif. sweetener,flour,4
organic products,yogurt,4
seasonal products,herbs,4
sparkling wine,hard cheese,4
specialty bar,mustard,4
dental care,sliced cheese,4
dental care,hard cheese,4
dental care,specialty chocolate,4
dental care,specialty bar,4
rice,butter milk,4
chewing gum,specialty cheese,4
potted plants,processed cheese,4
cake bar,ice cream,4
meat spreads,root vegetables,4
meat spreads,sugar,4
instant coffee,UHT-milk,4
specialty bar,liquor,4
specialty vegetables,pip fruit,4
specialty vegetables,root vegetables,4
long life bakery product,specialty cheese,4
chocolate marshmallow,specialty bar,4
rum,sausage,4
rum,baking powder,4
candy,chewing gum,4
light bulbs,chicken,4
light bulbs,curd,4
light bulbs,brown bread,4
light bulbs,bottled water,4
light bulbs,waffles,4
sauces,frankfurter,4
skin care,frankfurter,4
skin care,pastry,4
roll products,hard cheese,4
roll products,processed cheese,4
roll products,mayonnaise,4
rice,processed cheese,4
pickled vegetables,rice,4
skin care,fruit/vegetable juice,4
soft cheese,condensed milk,4
specialty chocolate,condensed milk,4
dishes,condensed milk,4
kitchen towels,white bread,4
dessert,finished products,4
soups,soft cheese,4
salty snack,soft cheese,4
waffles,soups,4
flower (seeds),UHT-milk,4
vinegar,UHT-milk,4
liquor (appetizer),domestic eggs,4
house keeping products,dish cleaner,4
popcorn,semi-finished bread,4
cocoa drinks,citrus fruit,4
flower (seeds),white wine,4
pet care,sliced cheese,4
dish cleaner,meat,4
light bulbs,dessert,4
brown bread,specialty cheese,4
abrasive cleaner,dish cleaner,4
hygiene articles,abrasive cleaner,4
cookware,domestic eggs,4
pudding powder,oil,4
brandy,coffee,4
photo/film,citrus fruit,4
syrup,margarine,4
canned beer,syrup,4
light bulbs,sausage,4
roll products,dessert,4
bottled water,ketchup,4
kitchen towels,UHT-milk,4
kitchen towels,oil,4
cookware,yogurt,4
tidbits,pip fruit,4
tidbits,other vegetables,4
white wine,baking powder,4
chicken,liver loaf,4
mayonnaise,soft cheese,4
specialty fat,sausage,4
soups,roll products,4
candles,roll products,4
candles,hygiene articles,4
waffles,specialty fat,4
misc. beverages,condensed milk,4
bathroom cleaner,bottled water,4
abrasive cleaner,cream cheese,4
abrasive cleaner,oil,4
cleaner,pork,4
cleaner,beef,4
hygiene articles,vinegar,4
cookware,tropical fruit,4
cat food,beverages,4
male cosmetics,pip fruit,4
male cosmetics,curd,4
house keeping products,processed cheese,4
house keeping products,Instant food products,4
candy,curd cheese,4
napkins,curd cheese,4
long life bakery product,jam,4
softener,dessert,4
female sanitary products,hard cheese,4
female sanitary products,soups,4
female sanitary products,baking powder,4
salt,packaged fruit/vegetables,4
misc. beverages,ketchup,4
salty snack,ketchup,4
citrus fruit,organic sausage,4
whipped/sour cream,organic sausage,4
flour,sliced cheese,4
cleaner,sugar,4
detergent,flour,4
dishes,ham,4
dishes,red/blush wine,4
detergent,chocolate marshmallow,4
potted plants,butter milk,4
frozen dessert,ham,4
light bulbs,ham,4
seasonal products,sugar,4
hygiene articles,packaged fruit/vegetables,4
pudding powder,sugar,4
spices,meat,4
cling film/bags,female sanitary products,4
misc. beverages,frozen potato products,4
photo/film,tropical fruit,4
photo/film,chewing gum,4
chocolate,jam,4
decalcifier,tropical fruit,4
detergent,frozen potato products,4
pickled vegetables,turkey,4
jam,grapes,4
jam,pickled vegetables,4
bottled water,sweet spreads,4
detergent,dog food,4
dental care,whipped/sour cream,4
snack products,root vegetables,4
dog food,herbs,4
decalcifier,yogurt,4
seasonal products,pasta,4
female sanitary products,seasonal products,4
cookware,root vegetables,4
pickled vegetables,condensed milk,4
house keeping products,salty snack,4
mustard,beverages,4
honey,rolls/buns,4
instant coffee,oil,4
detergent,rice,4
tea,hamburger meat,4
brown bread,curd cheese,4
bottled water,pudding powder,4
flower (seeds),frozen meals,4
photo/film,baking powder,4
cream cheese,condensed milk,4
sauces,butter milk,4
sauces,soups,4
long life bakery product,soups,4
cling film/bags,butter milk,4
dishes,white wine,4
misc. beverages,specialty cheese,4
sauces,butter,4
misc. beverages,mayonnaise,4
hygiene articles,pet care,4
cooking chocolate,citrus fruit,4
cooking chocolate,yogurt,4
cooking chocolate,bottled beer,4
cooking chocolate,chocolate,4
hygiene articles,cooking chocolate,4
chewing gum,salt,4
chewing gum,flour,4
female sanitary products,frozen vegetables,4
instant coffee,pork,4
specialty bar,spread cheese,4
seasonal products,spread cheese,4
specialty chocolate,mayonnaise,4
frozen potato products,UHT-milk,4
pasta,frozen potato products,4
seasonal products,frozen potato products,4
soft cheese,herbs,4
pork,liver loaf,4
dog food,semi-finished bread,4
waffles,rum,4
chocolate,rum,4
cereals,frozen vegetables,4
frozen potato products,soft cheese,4
napkins,male cosmetics,4
cling film/bags,chewing gum,4
white wine,semi-finished bread,4
frozen fish,meat,4
frozen fish,grapes,4
ice cream,frozen fish,4
detergent,frozen fish,4
misc. beverages,instant coffee,4
candles,ice cream,4
coffee,artif. sweetener,4
citrus fruit,fish,4
bathroom cleaner,berries,4
bathroom cleaner,whipped/sour cream,4
canned fruit,whipped/sour cream,4
condensed milk,berries,4
bottled water,specialty vegetables,4
ready soups,pip fruit,4
ready soups,frozen meals,4
ketchup,white bread,4
coffee,sauces,4
seasonal products,cat food,4
flower (seeds),seasonal products,4
newspapers,spices,4
jam,berries,4
chewing gum,berries,4
potato products,pork,4
potato products,onions,4
soda,specialty fat,4
flower (seeds),long life bakery product,4
semi-finished bread,spread cheese,4
specialty bar,baking powder,4
sweet spreads,ice cream,4
chewing gum,sweet spreads,4
canned fish,sweet spreads,4
nut snack,pastry,4
waffles,nut snack,4
cookware,pastry,4
cleaner,onions,4
candles,UHT-milk,4
candles,mustard,4
roll products,frozen fish,4
soups,grapes,4
soups,mustard,4
seasonal products,sliced cheese,4
seasonal products,ice cream,4
seasonal products,frozen dessert,4
female sanitary products,sliced cheese,4
female sanitary products,cream cheese,4
cling film/bags,frozen dessert,4
vinegar,pasta,4
syrup,fruit/vegetable juice,4
nut snack,hard cheese,4
tidbits,butter milk,4
curd cheese,ham,4
soda,curd cheese,4
specialty chocolate,sauces,4
specialty bar,canned fish,4
ice cream,processed cheese,4
white wine,meat,4
specialty fat,oil,4
bottled beer,specialty fat,4
waffles,spices,4
snack products,bottled water,4
candy,snack products,4
softener,pork,4
softener,brown bread,4
red/blush wine,flour,4
Instant food products,onions,4
flour,processed cheese,4
white bread,liver loaf,4
pet care,butter milk,4
pet care,sugar,4
long life bakery product,liver loaf,4
red/blush wine,cream cheese,4
shopping bags,tea,4
nut snack,frozen vegetables,4
cat food,salt,4
chewing gum,frozen meals,4
male cosmetics,frankfurter,4
light bulbs,sugar,4
light bulbs,hygiene articles,4
canned fish,spread cheese,4
canned beer,condensed milk,4
tidbits,citrus fruit,4
chocolate marshmallow,fruit/vegetable juice,4
canned fish,jam,4
canned beer,ham,4
photo/film,chicken,4
onions,liver loaf,4
popcorn,cat food,4
specialty bar,popcorn,4
canned beer,butter milk,4
vinegar,white bread,4
Instant food products,flour,4
chicken,finished products,4
pork,finished products,4
chocolate,Instant food products,4
misc. beverages,liver loaf,4
dishes,mustard,4
chocolate,sauces,4
domestic eggs,frozen fruits,4
potato products,frozen meals,4
waffles,nuts/prunes,4
chewing gum,mustard,4
rum,herbs,4
specialty cheese,meat,4
cling film/bags,specialty chocolate,4
salty snack,zwieback,4
Instant food products,dessert,4
specialty cheese,pork,4
house keeping products,frozen potato products,4
mustard,meat,4
baking powder,mustard,4
rum,yogurt,4
cooking chocolate,tropical fruit,4
ketchup,butter,4
chewing gum,meat spreads,4
decalcifier,whipped/sour cream,4
light bulbs,domestic eggs,4
light bulbs,fruit/vegetable juice,4
instant coffee,dessert,4
tea,frozen vegetables,4
newspapers,tea,4
cereals,butter milk,4
bottled beer,mayonnaise,4
liquor (appetizer),oil,4
long life bakery product,specialty vegetables,4
long life bakery product,liquor (appetizer),4
chocolate,instant coffee,4
female sanitary products,salty snack,4
napkins,potato products,4
potted plants,canned vegetables,4
candles,candy,4
flour,ice cream,4
dishes,candy,4
rice,grapes,4
rice,soft cheese,4
dental care,frozen fish,4
long life bakery product,zwieback,4
rum,soft cheese,4
dental care,pickled vegetables,4
tea,sausage,4
dental care,cream cheese,4
kitchen towels,dental care,4
kitchen towels,hygiene articles,4
potted plants,cereals,4
mayonnaise,meat,4
misc. beverages,sweet spreads,4
specialty chocolate,sweet spreads,4
newspapers,finished products,4
sparkling wine,chicken,4
bottled water,liver loaf,4
pudding powder,flour,4
ketchup,pastry,4
skin care,pork,4
cat food,soups,4
canned vegetables,butter milk,4
roll products,frozen meals,4
cocoa drinks,pip fruit,4
dog food,pickled vegetables,4
pudding powder,tropical fruit,4
pip fruit,organic sausage,4
chocolate marshmallow,white bread,4
white wine,misc. beverages,4
specialty cheese,dessert,4
cat food,condensed milk,4
nut snack,cat food,4
brandy,UHT-milk,4
chewing gum,brown bread,4
yogurt,nuts/prunes,4
cake bar,hard cheese,4
cake bar,cereals,4
detergent,frozen dessert,4
coffee,turkey,4
Instant food products,UHT-milk,4
jam,herbs,4
liquor,processed cheese,4
dog food,flour,4
dishes,baking powder,4
sweet spreads,mustard,4
pudding powder,butter,4
detergent,sweet spreads,4
pet care,frankfurter,4
seasonal products,soft cheese,4
frozen potato products,turkey,4
salt,ham,4
jam,ham,4
soups,pork,4
organic products,pastry,4
coffee,zwieback,4
napkins,abrasive cleaner,4
sparkling wine,red/blush wine,4
cleaner,chocolate,4
instant coffee,semi-finished bread,4
house keeping products,meat,4
pet care,semi-finished bread,4
specialty chocolate,canned fish,4
specialty bar,finished products,4
dog food,processed cheese,4
chocolate marshmallow,processed cheese,4
shopping bags,frozen fruits,4
detergent,chewing gum,4
ketchup,UHT-milk,4
artif. sweetener,chicken,4
cereals,chicken,4
popcorn,mustard,4
zwieback,berries,4
nut snack,whipped/sour cream,4
organic products,pip fruit,4
skin care,bottled beer,4
soda,organic sausage,4
candy,specialty cheese,4
pudding powder,pork,4
sweet spreads,semi-finished bread,4
chewing gum,soft cheese,4
cream,whole milk,4
fruit/vegetable juice,cream,4
pasta,meat,4
pasta,ice cream,4
female sanitary products,chicken,4
house keeping products,female sanitary products,4
ketchup,pasta,4
cling film/bags,pork,4
potato products,ham,4
potato products,processed cheese,4
grapes,finished products,4
potato products,tropical fruit,4
sweet spreads,sauces,4
liquor,pip fruit,4
Instant food products,hard cheese,4
flower (seeds),onions,4
photo/film,white bread,4
spread cheese,processed cheese,4
sauces,pasta,4
flower (seeds),fruit/vegetable juice,4
female sanitary products,specialty chocolate,4
meat spreads,meat,4
Instant food products,frozen meals,4
cake bar,canned beer,4
misc. beverages,pet care,4
pet care,baking powder,4
chocolate,cereals,4
sauces,frozen fish,4
kitchen towels,ice cream,4
zwieback,pork,4
abrasive cleaner,chocolate,4
chocolate marshmallow,sliced cheese,4
chewing gum,herbs,4
softener,frozen meals,4
cooking chocolate,frozen vegetables,4
napkins,popcorn,4
beverages,packaged fruit/vegetables,4
cake bar,grapes,4
sparkling wine,sausage,4
abrasive cleaner,coffee,4
abrasive cleaner,curd cheese,4
potted plants,hard cheese,4
abrasive cleaner,fruit/vegetable juice,4
chewing gum,hard cheese,4
female sanitary products,sausage,4
artif. sweetener,root vegetables,4
salt,beverages,4
ready soups,citrus fruit,3
abrasive cleaner,rice,3
sweet spreads,flour,3
candy,sweet spreads,3
bathroom cleaner,waffles,3
detergent,canned fish,3
flower (seeds),candles,3
sparkling wine,oil,3
bathroom cleaner,oil,3
candles,white wine,3
candles,salty snack,3
rice,berries,3
photo/film,grapes,3
bathroom cleaner,pork,3
cling film/bags,waffles,3
chewing gum,pickled vegetables,3
margarine,fish,3
long life bakery product,fish,3
canned fruit,hard cheese,3
detergent,honey,3
candles,white bread,3
bottled beer,finished products,3
white wine,finished products,3
salty snack,cocoa drinks,3
dog food,cereals,3
prosecco,white wine,3
cereals,frankfurter,3
cereals,frozen fish,3
cereals,white bread,3
dish cleaner,beverages,3
cookware,sausage,3
cookware,whipped/sour cream,3
cookware,beverages,3
tea,oil,3
tea,butter milk,3
flower (seeds),spices,3
flower (seeds),house keeping products,3
pickled vegetables,beverages,3
cereals,frozen dessert,3
canned vegetables,cereals,3
canned fish,canned vegetables,3
skin care,curd,3
skin care,dessert,3
hygiene articles,cereals,3
frozen dessert,hamburger meat,3
potato products,butter,3
soda,tea,3
salad dressing,pip fruit,3
mustard,packaged fruit/vegetables,3
pickled vegetables,packaged fruit/vegetables,3
flour,specialty cheese,3
abrasive cleaner,candy,3
cleaner,candy,3
dish cleaner,frozen potato products,3
chewing gum,cake bar,3
curd cheese,berries,3
coffee,specialty fat,3
syrup,whipped/sour cream,3
napkins,syrup,3
softener,ham,3
canned fruit,oil,3
misc. beverages,zwieback,3
brandy,misc. beverages,3
house keeping products,ice cream,3
frozen dessert,packaged fruit/vegetables,3
snack products,pastry,3
semi-finished bread,liver loaf,3
hygiene articles,liver loaf,3
photo/film,frankfurter,3
baby cosmetics,whole milk,3
organic products,domestic eggs,3
organic products,flour,3
napkins,organic products,3
misc. beverages,frozen dessert,3
male cosmetics,tropical fruit,3
photo/film,detergent,3
mayonnaise,packaged fruit/vegetables,3
frozen potato products,mayonnaise,3
mustard,frozen fish,3
mustard,frozen potato products,3
cat food,frozen fish,3
honey,frozen vegetables,3
candles,kitchen towels,3
chewing gum,liquor (appetizer),3
soap,pork,3
soap,tropical fruit,3
soap,curd,3
soap,yogurt,3
soap,domestic eggs,3
kitchen towels,berries,3
canned vegetables,herbs,3
frozen dessert,meat,3
frozen dessert,herbs,3
hair spray,whole milk,3
Instant food products,soups,3
tea,beef,3
rum,liquor,3
liquor (appetizer),citrus fruit,3
liquor (appetizer),pickled vegetables,3
liquor (appetizer),liquor,3
cling film/bags,liquor,3
cling film/bags,rum,3
abrasive cleaner,pastry,3
shopping bags,abrasive cleaner,3
canned beer,soups,3
potato products,citrus fruit,3
long life bakery product,potato products,3
female sanitary products,frankfurter,3
female sanitary products,butter milk,3
soap,frankfurter,3
soap,coffee,3
newspapers,potato products,3
newspapers,soap,3
candles,meat,3
potted plants,candles,3
candles,packaged fruit/vegetables,3
organic products,frankfurter,3
frozen dessert,butter milk,3
condensed milk,packaged fruit/vegetables,3
zwieback,grapes,3
Instant food products,zwieback,3
ice cream,specialty cheese,3
skin care,ham,3
skin care,berries,3
skin care,cake bar,3
soups,packaged fruit/vegetables,3
baking powder,packaged fruit/vegetables,3
curd,fish,3
whipped/sour cream,fish,3
candles,grapes,3
mustard,pasta,3
dog food,mustard,3
semi-finished bread,frozen fish,3
artif. sweetener,sausage,3
artif. sweetener,semi-finished bread,3
ready soups,sausage,3
hygiene articles,artif. sweetener,3
abrasive cleaner,sugar,3
abrasive cleaner,long life bakery product,3
fruit/vegetable juice,organic products,3
nuts/prunes,pork,3
Instant food products,spread cheese,3
fruit/vegetable juice,nuts/prunes,3
instant coffee,berries,3
instant coffee,pet care,3
brandy,white bread,3
brandy,brown bread,3
bathroom cleaner,hamburger meat,3
popcorn,ham,3
popcorn,coffee,3
liqueur,rolls/buns,3
popcorn,frankfurter,3
mustard,rice,3
dental care,mustard,3
specialty chocolate,instant coffee,3
dish cleaner,sparkling wine,3
salt,ice cream,3
potted plants,chewing gum,3
white bread,organic sausage,3
rum,brown bread,3
softener,pasta,3
flower (seeds),pasta,3
flower (seeds),softener,3
canned vegetables,spread cheese,3
cocoa drinks,pork,3
cocoa drinks,yogurt,3
cocoa drinks,pastry,3
cocoa drinks,coffee,3
fruit/vegetable juice,cocoa drinks,3
cocoa drinks,cream cheese,3
cocoa drinks,domestic eggs,3
cocoa drinks,sugar,3
waffles,cocoa drinks,3
cleaner,oil,3
cleaner,long life bakery product,3
rice,frozen fish,3
softener,hard cheese,3
herbs,grapes,3
hygiene articles,sparkling wine,3
cream,root vegetables,3
domestic eggs,nuts/prunes,3
pastry,nuts/prunes,3
vinegar,butter milk,3
pet care,pasta,3
newspapers,toilet cleaner,3
specialty vegetables,beef,3
specialty vegetables,processed cheese,3
specialty vegetables,pasta,3
cereals,specialty cheese,3
sauces,beef,3
light bulbs,beef,3
light bulbs,salty snack,3
artif. sweetener,dessert,3
artif. sweetener,sugar,3
sauces,flour,3
pickled vegetables,roll products,3
candy,rice,3
skin care,hard cheese,3
skin care,pickled vegetables,3
processed cheese,condensed milk,3
semi-finished bread,condensed milk,3
dishes,soft cheese,3
kitchen towels,condensed milk,3
kitchen towels,dishes,3
liquor (appetizer),beverages,3
butter milk,finished products,3
cake bar,finished products,3
cake bar,butter milk,3
cake bar,soft cheese,3
detergent,herbs,3
house keeping products,cream cheese,3
popcorn,processed cheese,3
chewing gum,processed cheese,3
chewing gum,popcorn,3
vinegar,hamburger meat,3
specialty chocolate,packaged fruit/vegetables,3
specialty chocolate,vinegar,3
pet care,meat,3
dish cleaner,bottled beer,3
kitchen towels,pet care,3
kitchen towels,dish cleaner,3
light bulbs,UHT-milk,3
light bulbs,canned beer,3
dish cleaner,canned vegetables,3
abrasive cleaner,bottled water,3
shopping bags,cookware,3
spread cheese,grapes,3
pudding powder,grapes,3
pudding powder,ice cream,3
pasta,specialty cheese,3
light bulbs,margarine,3
potted plants,prosecco,3
tidbits,pork,3
bottled beer,tidbits,3
white wine,frozen fish,3
chocolate,tidbits,3
candy,white wine,3
ham,liver loaf,3
butter,liver loaf,3
soft cheese,liver loaf,3
mayonnaise,beverages,3
roll products,liver loaf,3
flour,soft cheese,3
specialty fat,soft cheese,3
specialty fat,cream cheese,3
specialty fat,flour,3
sugar,liver loaf,3
soups,mayonnaise,3
skin care,butter,3
candles,mayonnaise,3
candles,soups,3
baking powder,specialty fat,3
cat food,specialty fat,3
bathroom cleaner,bottled beer,3
margarine,finished products,3
vinegar,berries,3
dish cleaner,vinegar,3
abrasive cleaner,specialty chocolate,3
cleaner,cat food,3
cleaner,specialty chocolate,3
dog food,frankfurter,3
cookware,long life bakery product,3
beverages,herbs,3
flower (seeds),dishes,3
brandy,pip fruit,3
popcorn,margarine,3
baking powder,curd cheese,3
salty snack,jam,3
pork,turkey,3
waffles,liver loaf,3
chocolate,liver loaf,3
salt,meat,3
rice,ham,3
soups,rice,3
canned vegetables,frozen meals,3
canned vegetables,soups,3
female sanitary products,frozen meals,3
female sanitary products,bottled beer,3
specialty bar,salt,3
canned vegetables,berries,3
softener,pastry,3
flour,frozen meals,3
cleaner,frankfurter,3
cleaner,sliced cheese,3
specialty bar,pet care,3
sweet spreads,baking powder,3
prosecco,bottled water,3
ketchup,citrus fruit,3
ketchup,dessert,3
detergent,ketchup,3
dish cleaner,ketchup,3
jam,soft cheese,3
misc. beverages,jam,3
light bulbs,bottled beer,3
house keeping products,soft cheese,3
house keeping products,cat food,3
chocolate,zwieback,3
frozen meals,packaged fruit/vegetables,3
female sanitary products,white bread,3
potted plants,female sanitary products,3
specialty bar,specialty fat,3
female sanitary products,brown bread,3
female sanitary products,dish cleaner,3
napkins,brandy,3
chewing gum,frozen potato products,3
photo/film,salty snack,3
photo/film,long life bakery product,3
roll products,grapes,3
baking powder,liver loaf,3
decalcifier,rolls/buns,3
misc. beverages,dog food,3
chewing gum,meat,3
mustard,vinegar,3
chewing gum,frozen dessert,3
house keeping products,roll products,3
decalcifier,frankfurter,3
cookware,waffles,3
brandy,condensed milk,3
honey,ham,3
ketchup,mayonnaise,3
cling film/bags,mayonnaise,3
cling film/bags,ketchup,3
specialty bar,instant coffee,3
decalcifier,frozen vegetables,3
decalcifier,domestic eggs,3
decalcifier,detergent,3
shopping bags,decalcifier,3
canned fruit,hamburger meat,3
canned fruit,butter,3
tea,canned fish,3
candles,rice,3
salad dressing,pork,3
salad dressing,onions,3
pudding powder,sausage,3
soda,pudding powder,3
male cosmetics,bottled beer,3
potted plants,roll products,3
cooking chocolate,soda,3
softener,curd,3
sauces,frozen vegetables,3
potato products,sausage,3
berries,turkey,3
sauces,turkey,3
sauces,berries,3
rubbing alcohol,pip fruit,3
flower (seeds),herbs,3
popcorn,finished products,3
specialty fat,salt,3
newspapers,specialty fat,3
female sanitary products,processed cheese,3
cooking chocolate,pip fruit,3
cooking chocolate,pastry,3
cooking chocolate,flour,3
snack products,oil,3
snack products,fruit/vegetable juice,3
chewing gum,frozen fish,3
female sanitary products,meat,3
female sanitary products,pickled vegetables,3
red/blush wine,sauces,3
